time,height,velocity,acceleration,aerodrag
 0.000,0.000,0.078,7.763,0.018
 0.010,0.002,0.155,7.768,0.074
 0.020,0.003,0.233,7.773,0.166
 0.030,0.006,0.311,7.778,0.296
 0.040,0.010,0.389,7.784,0.462
 0.050,0.014,0.466,7.789,0.666
 0.060,0.019,0.544,7.794,0.907
 0.070,0.025,0.622,7.799,1.186
 0.080,0.031,0.700,7.804,1.502
 0.090,0.039,0.778,7.809,1.855
 0.100,0.047,0.856,7.814,2.246
 0.110,0.056,0.935,7.819,2.675
 0.120,0.066,1.013,7.824,3.142
 0.130,0.076,1.091,7.829,3.646
 0.140,0.088,1.169,7.835,4.188
 0.150,0.100,1.248,7.840,4.768
 0.160,0.113,1.326,7.845,5.387
 0.170,0.126,1.405,7.850,6.043
 0.180,0.141,1.483,7.855,6.737
 0.190,0.156,1.562,7.860,7.470
 0.200,0.172,1.640,7.865,8.241
 0.210,0.189,1.719,7.870,9.051
 0.220,0.206,1.798,7.876,9.898
 0.230,0.225,1.877,7.881,10.785
 0.240,0.244,1.955,7.886,11.710
 0.250,0.264,2.034,7.891,12.674
 0.260,0.284,2.113,7.896,13.676
 0.270,0.306,2.192,7.901,14.718
 0.280,0.328,2.271,7.906,15.798
 0.290,0.351,2.350,7.912,16.918
 0.300,0.375,2.430,7.917,18.076
 0.310,0.400,2.509,7.922,19.274
 0.320,0.425,2.588,7.927,20.510
 0.330,0.452,2.667,7.932,21.786
 0.340,0.479,2.747,7.937,23.102
 0.350,0.507,2.826,7.943,24.457
 0.360,0.535,2.905,7.948,25.851
 0.370,0.565,2.985,7.953,27.285
 0.380,0.595,3.065,7.958,28.759
 0.390,0.626,3.144,7.963,30.272
 0.400,0.658,3.224,7.968,31.826
 0.410,0.691,3.304,7.974,33.419
 0.420,0.724,3.383,7.979,35.052
 0.430,0.758,3.463,7.984,36.725
 0.440,0.793,3.543,7.989,38.438
 0.450,0.829,3.623,7.994,40.192
 0.460,0.866,3.703,8.000,41.986
 0.470,0.903,3.783,8.005,43.820
 0.480,0.941,3.863,8.010,45.694
 0.490,0.980,3.943,8.015,47.609
 0.500,1.020,4.023,8.021,49.565
 0.510,1.061,4.103,8.026,51.561
 0.520,1.102,4.184,8.031,53.598
 0.530,1.145,4.264,8.036,55.676
 0.540,1.188,4.344,8.041,57.795
 0.550,1.231,4.425,8.047,59.955
 0.560,1.276,4.505,8.052,62.155
 0.570,1.322,4.586,8.057,64.397
 0.580,1.368,4.667,8.062,66.680
 0.590,1.415,4.747,8.068,69.005
 0.600,1.463,4.828,8.073,71.371
 0.610,1.511,4.909,8.078,73.778
 0.620,1.561,4.989,8.083,76.226
 0.630,1.611,5.070,8.089,78.717
 0.640,1.662,5.151,8.094,81.248
 0.650,1.714,5.232,8.099,83.822
 0.660,1.767,5.313,8.104,86.437
 0.670,1.821,5.394,8.110,89.095
 0.680,1.875,5.475,8.115,91.794
 0.690,1.930,5.557,8.120,94.535
 0.700,1.986,5.638,8.126,97.319
 0.710,2.043,5.719,8.131,100.145
 0.720,2.100,5.800,8.136,103.013
 0.730,2.159,5.882,8.141,105.923
 0.740,2.218,5.963,8.147,108.876
 0.750,2.278,6.045,8.152,111.871
 0.760,2.339,6.126,8.157,114.909
 0.770,2.401,6.208,8.163,117.990
 0.780,2.463,6.290,8.168,121.113
 0.790,2.526,6.371,8.173,124.279
 0.800,2.590,6.453,8.178,127.488
 0.810,2.655,6.535,8.184,130.740
 0.820,2.721,6.617,8.189,134.035
 0.830,2.788,6.699,8.194,137.374
 0.840,2.855,6.781,8.200,140.755
 0.850,2.923,6.863,8.205,144.180
 0.860,2.992,6.945,8.210,147.648
 0.870,3.062,7.027,8.216,151.160
 0.880,3.133,7.109,8.221,154.715
 0.890,3.204,7.191,8.226,158.314
 0.900,3.277,7.274,8.232,161.957
 0.910,3.350,7.356,8.237,165.643
 0.920,3.424,7.438,8.242,169.373
 0.930,3.499,7.521,8.248,173.147
 0.940,3.574,7.603,8.253,176.966
 0.950,3.651,7.686,8.258,180.828
 0.960,3.728,7.768,8.264,184.734
