time s,mass kg,height m,velocity m/s,mach,acceleration m/s^2,aerodrag N,numOfStages
1.000,104700.000,1.768,3.542,0.010,3.561,23.053,3
2.000,104400.000,7.097,7.123,0.021,3.599,93.144,3
3.000,104100.000,16.026,10.740,0.031,3.637,211.580,3
4.000,103800.000,28.591,14.396,0.042,3.674,379.543,3
5.000,103500.000,44.830,18.088,0.053,3.711,598.081,3
6.000,103200.000,64.779,21.818,0.064,3.748,868.101,3
7.000,102900.000,88.477,25.583,0.075,3.784,1190.359,3
8.000,102600.000,115.958,29.386,0.086,3.820,1565.459,3
9.000,102300.000,147.260,33.224,0.097,3.856,1993.842,3
10.000,102000.000,182.418,37.098,0.108,3.892,2475.786,3
11.000,101700.000,221.468,41.007,0.120,3.927,3011.402,3
12.000,101400.000,264.445,44.952,0.131,3.962,3600.630,3
13.000,101100.000,311.384,48.931,0.143,3.997,4243.242,3
14.000,100800.000,362.319,52.945,0.154,4.031,4938.842,3
15.000,100500.000,417.285,56.993,0.166,4.065,5686.873,3
16.000,100200.000,476.317,61.075,0.178,4.099,6486.618,3
17.000,99900.000,539.447,65.191,0.190,4.132,7337.215,3
18.000,99600.000,606.710,69.340,0.202,4.165,8237.666,3
19.000,99300.000,678.137,73.521,0.214,4.198,9186.852,3
20.000,99000.000,753.763,77.736,0.227,4.231,10183.556,3
21.000,98700.000,833.620,81.983,0.239,4.263,11226.486,3
22.000,98400.000,917.740,86.262,0.251,4.295,12314.303,3
23.000,98100.000,1006.156,90.574,0.264,4.327,13445.659,3
24.000,97800.000,1098.898,94.917,0.277,4.359,14619.237,3
25.000,97500.000,1195.999,99.291,0.289,4.390,15833.800,3
26.000,97200.000,1297.491,103.697,0.302,4.421,17088.246,3
27.000,96900.000,1403.404,108.134,0.315,4.453,18381.671,3
28.000,96600.000,1513.770,112.602,0.328,4.483,19713.443,3
29.000,96300.000,1628.618,117.101,0.341,4.514,21083.277,3
30.000,96000.000,1747.981,121.630,0.355,4.544,22491.326,3
31.000,95700.000,1871.889,126.190,0.368,4.575,23938.270,3
32.000,95400.000,2000.370,130.779,0.381,4.605,25425.417,3
33.000,95100.000,2133.457,135.399,0.395,4.634,26954.804,3
34.000,94800.000,2271.178,140.048,0.408,4.664,28529.296,3
35.000,94500.000,2413.563,144.727,0.422,4.693,30152.685,3
36.000,94200.000,2560.641,149.434,0.436,4.722,31829.778,3
37.000,93900.000,2712.441,154.171,0.449,4.750,33566.465,3
38.000,93600.000,2868.992,158.935,0.463,4.778,35369.773,3
39.000,93300.000,3030.320,163.727,0.477,4.805,37247.878,3
40.000,93000.000,3196.454,168.546,0.491,4.832,39210.084,3
41.000,92700.000,3367.420,173.390,0.506,4.858,41266.745,3
42.000,92400.000,3543.243,178.261,0.520,4.882,43429.130,3
43.000,92100.000,3723.949,183.155,0.534,4.906,45709.211,3
44.000,91800.000,3909.561,188.072,0.548,4.928,48119.378,3
